latitude,longitude,name,address,location,description,features,price_range,bed,bath,square_feet
32.23686,-111.01321,View at Star Pass,"2162 W Speedway Blvd, Tucson, AZ 85745",Ward 1,"Welcome to View at Starr Pass, a beautiful community located in Tucson, Arizona. Our pet-friendly apartments are situated in PIMA County near Interstate 10, giving you an easy pathway to Downtown Tucson. Explore nearby restaurants, shopping, and entertainment venues all within reach. If you are looking for comfort and convenience, the View at Starr Pass is the perfect place for you to call home. Our community offers three spacious floor plans to choose from with one, two, and four bedroom apartments for rent. Standard amenities feature air conditioning, and ceiling fans to keep you comfortable. You’ll love preparing meals in your fully equipped kitchen that includes a microwave and a dishwasher for easy clean ups. To make chores effortless you enjoy having an in-home washer and dryer. Our amenities don’t end at your front door. Residents can enjoy all of the great community amenities we have to offer. Take advantage of our two shimmering swimming pools and spa, and stay in shape utilizing our state-of-the-art fitness center. Have peace of mind knowing that our dedicated team is here to help when you need it with on-site maintenance and professional management. Give us a call today and schedule a tour to see why View at Starr Pass in Tucson, AZ should be your next new home.","Package Receiving,Beautiful Landscaping,Professional Management,Walk-in Closets*,• Access to Public Transportation • Beautiful Landscaping • Business Center • Easy Access to Freeway,All Electric Stainless Steel Appliance Package,Breakfast Bar*,Easy Access To Freeways,9ft Ceilings*,All-electric Kitchen*,Easy Access To Shopping,Public Parks Nearby,Stainless Steel Appliances*,Two Shimmering Pools & Spa,* Select Units Only,Extra Storage,Short-term Leasing Available","$1,250 - $1,669",1 - 4 bd,1 - 2 ba,"645 - 1,373 sq ft"
32.42727,-111.0756,Legacy Apartments at Dove Mountain,"12100 N Mountain Centre Rd, Marana, AZ 85658",Dove Mountain,"Welcome home to Legacy at Dove Mountain. A recipient of the *2011 Gold Award* for Best Multi-family Home Development by the Professional Builders Design Association, our stunning, pet friendly apartment community is nestled in the charming Tortolita Mountains. We proudly offer unobstructed views of the Catalina Mountain range to the east, and the Tucson mountain ranges to the west. Enjoy the amazing views of the downtown Tucson city lights and the picturesque Santa Rita Mountains. Our location in Dove Mountain puts us just minutes away from the brand new Interstate 10 Twin Peaks exchange freeway off ramp. This new ramp allows you quicker and easier access to restaurants, shopping, schools, local museums and parks. Come and tour our photo gallery or call us to schedule your personal tour. You will love our spacious one, two, and three bedroom apartment homes for rent in Marana, near Tucson. Visit us today and see why we are filling up fast and setting a new standard for luxury living in Tucson.","Valet Trash,Gas Grills,Heated Pool,Planned Resident Events,Dog Park","$1,479 - $1,951",1 - 3 bd,1 - 2 ba,"698 - 1,150 sq ft"
32.23503,-110.95761,The Pacific and Malibu,"1020 N Tyndall Ave, Tucson, AZ 85719",West University,"Looking for a Luxurious furnished private bed/private bath starting at $975 a month? Look no further, Sol Y Luna is a high-rise off campus student housing community located steps away from University of Arizona in Tucson. The property offers first-class amenities and million dollar views of Tucson skyline, with two amazing resort style rooftop swimming pools, state of the art gyms and yoga classes and much more. Now offering August to May lease contract and 1 month free rent! Sign today for: * Million Dollar Views of UA Tucson * 2 Rooftop Pools * 2 State of the art gyms * Best Value for off Campus Living * Parking Garage * Private and Shared Bedroom Options available *Sun Deck * 2 Study Lounges * 2 On-Site Tanning Areas Schedule your tour today to see what you've been missing!'","Common Area TV's in Every Unit,Fire Pit & Grills,Modern Kitchen with Euro-Style Cabinetry,New Club Lounge Coming Soon,Designer Bathrooms,Individual Leasing and Roommate Matching Available,Central Air, WiFi and Cable Included,Energy-Efficient, Stainless-Steel Appliances,Free Resident Printing Service Coming Soon,Hot Tub & Steam Room,In-Home Washer/Dryer,Private Balcony,Professional On-Site Management,Quartz Countertops,Rooftop Pool with Swim-Up Seating,The Signature JOE Coffee Bar with Starbucks Cafe Machine Coming Soon,New Resident Computers Coming Soon,Sol y Luna is Joining the CLS Autograph Collection - Redesigned Clubhouse and Amenities Coming Late,The Signature JIM Fitness Center Coming Soon,The Sol y Luna Swim Club Featuring New Furniture and Cabanas Coming Soon,24-Hour Fitness Center with Yoga & Dance Studio,Built-In Filtration System for Purified Drinking Water,Fully Furnished Apartments,On-Site Tanning Bed,Under New Management,UPGRADED Internet Coming Soon!,First-Floor Restaurants and Retail,Open Garage Parking,Outdoor TV Lounge,Outside Study Area,Just 36 Feet From Campus","$1,299 - $2,224",Studio - 5 bd,1 - 4 ba,"457 - 1,580 sq ft"
32.33833,-111.03525,CentrePoint Apartment Homes,"3220 W Ina Rd, Tucson, AZ 85741",Casas Adobes,"When you’re looking for an apartment in Northwest Tucson, look no further than the quality of life that CentrePoint Apartments has to offer. With our convenient location close to I-10 and Highway 77, you’ll have quick access to the greater Tucson area, making commuting a breeze. When it’s time to head home, you’ll have beautiful, landscaped grounds filled with resort-like amenities waiting for you. On a hot night, cool down in one of our two sprawling swimming pools, or get some friends together for a barbecue under the stars in our outdoor cooking area. If staying fit is a must, you will love that we have an onsite fitness center for all your weight and cardio needs. Enjoy the best that Tucson has to offer at CentrePoint Apartments.","Private Patio/Balcony,Ramadas with Charcoal Barbecue,Additional Outdoor Storage,Hot Tub,Walk-In Closets,Covered Parking Available,Energy-Efficient Appliances*,Furnished Apartments,On-Site Dog Park,Fireplace*,Fitness Center,Flexible Rent Payments,In-Home Washer & Dryer,Upgraded Interiors*,Two Swimming Pools with Water Features,Vaulted Ceilings*,Two Gas BBQ/Picnic Areas","$1,241 - $2,940",1 - 3 bd,1 - 2 ba,"649 - 1,180 sq ft"
32.2509,-110.89813,Villas Las Cerezas,"4415 E Grant Rd, Tucson, AZ 85712",Ward 2,"Villas Las Cerezas is located in wonderful west Tucson, Arizona. We offer spacious two-bedroom & three-bedroom floorplans designed with our residents in mind. Our pet-friendly community provides our residents with amenities that'll make you happy to call Villas Las Cerezas home. Community amenities include a brand new pet park, picnic area with BBQ grills, newly renovated pool, clubhouse, and fitness center! Villas Las Cerezas Apartments is also close to plenty of local shopping, dining, and entertainment such as Roadhouse Cinemas just a short walk away. Call us today to schedule a tour!","Pool,Fitness Center,Laundry Facilities,Furnished Units Available,Air Conditioning,Dishwasher,High Speed Internet Access,Walk-In Closets","$1,199 - $1,755",2 - 3 bd,1 - 2 ba,"900 - 1,500 sq ft"
32.2677,-110.89024,Summerlin Villas,"3300 N Paseo De Los Rios, Tucson, AZ 85712",Old Fort Lowell,Starflower - 2 Bedroom with Den - Starflower Waitlist (RLNE5175574),l,"$1,405 - $1,829",1 - 2 bd,1 - 2 ba,"843 - 1,349 sq ft"
32.19022,-110.81677,Lakeside Casitas,"8250 E Golf Links Rd, Tucson, AZ 85730",Lakeside Park,"Apartments in Lakeside Park, Tucson, AZ If you're looking for your own single story home in Tucson, Arizona, look no further! Lakeside Casitas Apartments in East Tucson offers single story town homes in a beautiful gated park-like setting. Located on Golf Links Road, each of our apartment homes have their own washer and dryer, skylights, reserved covered parking and ceiling fans in all of the rooms. Once you've settled in, we invite you to enjoy our refreshing pool, relax in the soothing spa, or re-energize with a workout in the fitness center. Invite your friends and family over as you host a weekend barbecue in one of our beautiful picnic areas. Find your casita here. Come visit us today, we'd love to show you around! Welcome home!","Cable-Ready Apartments,Dog Exercise Park,Washer & Dryer,Bridge Credit Plus,Off-Street Parking,Private Courtyard,Carpeting & Vinyl Flooring,Dishwasher,Monthly Resident Events,Moving Services,Non-Smoking Community,Courtesy Patrol,Refrigerator,Covered Carports - 1 Free Per Apartment,Preinstalled WiFi w/ First Month Free from Cox,Swimming Pool & Spa,Air Conditioner,Courtyard-private for each apartment,Renovated Units Available,Accent Walls Available,Ceiling Fans,Disposal,High-Speed Internet Access,Skylight,Window Coverings,BBQ/Picnic Area,Beautiful Views,Electronic Thermostat,Walking/Biking Trails","$1,209 - $2,412",1 - 3 bd,1 - 2 ba,"660 - 1,070 sq ft"
32.32257,-111.01536,Circ Tucson,"2255 W Orange Grove Rd, Tucson, AZ 85741",Casas Adobes Park,"Chat with us 24/7: sets the bar on luxury living in Casas Adobes in North Tucson, Arizona. Every day will feel like your own personal oasis getaway nestled in the middle of the desert. Palm trees surround the community among thoughtful and creative park-style landscaping. The architecture is stylish and its ultra-modern design creates a vibrant style that welcomes you home. With easy access to West Orange Grove and I10, CIRC is just minutes from Foothills Mall, Albertson’s, The Tucson Mall, Northwest Medical Center, Pima Community College, and the University of Arizona. Downtown Tucson’s Congress Street offers so much entertainment, dining, and culture and it’s all right there for you! And for all you coffee drinkers out there, you will love that you can walk next door to the brand new Starbucks that just opened.CIRC provides its residents a wide selection of unique one, two, and three-bedroom apartment homes that feature exclusive community amenities like newly updated fitness center, heated pool, 24-hour emergency maintenance, and extra storage. Our covered parking provides protection for your vehicle from the desert sun. Your pets will love it here! You can have up to two of your best pet-friends living in your new home with you. Peace of mind is important to all of us and our controlled access community will let you rest easy. You deserve the best in Tucson apartment living and CIRC delivers both comfort and luxury.Our photo gallery gives you a good look into how easy life can be at CIRC. Schedule your appointment today, or drop by and visit us for your personal tour today! We’d be happy to show you why we love our Casas Adobes desert apartment oasis.","Ceiling Fans* In Select Units,In-unit Washer/Dryer,Karaoke Room,Dishwasher,Swimming Pool,Upgraded Lighting Package*,Online Rent Payment,Storage Space,Walk to a Brand New Starbucks,Picnic Area,Refrigerator,Spacious Closet,SVC Air Conditioning,Upgraded Appliance Package*,BBQ Grill,Covered Parking*,EV Charging Station,No Smoking,Patio/Balcony,Wood Vinyl Flooring*,High Speed Internet Available,SVC Cable","$1,044 - $1,644",1 - 3 bd,1 - 2 ba,"633 - 1,043 sq ft"
32.21577,-110.87822,The Condominium at Williams Centre,"5400 E Williams Blvd, Tucson, AZ 85711",Ward 6,"Experience luxury living at The Condominium at Williams Centre in Tucson, Arizona. Near the center of it all, this ideal location makes accessing Davis-Monthan Air Force Base, freeways, shopping, and entertainment a breeze. Choose from one of our six spacious one, two, or three bedroom floor plans that will best fit your lifestyle. Each residence is exquisitely designed for convenience and comfort, with nine-foot ceilings, breakfast bar, pantry, full-size washer and dryer, oversized walk-in closets, and an intrusion alarm. Amenities in our gated community are abundant so when it's time to relax, enjoy a resort-style heated pool and spa with fountains, ramadas and sunning decks, well-equipped fitness center, multiple landscaped barbecue pavilions and a lavish clubhouse. We offer monthly discounts to Active and Veteran Military personnel. Also Law Enforcement, Raytheon, and Texas Instruments, Banner, TMC employees as well as Williams Centre employees receive a move-in discount. Visit our photo gallery and see why The Condominium at Williams Centre is the perfect place to call home.","Pool,Fitness Center,Clubhouse,Controlled Access,Washer/Dryer,Air Conditioning,Dishwasher,High Speed Internet Access,Walk-In Closets,Microwave,Refrigerator,Tub/Shower","$1,225 - $1,960",1 - 2 bd,1 - 2 ba,"705 - 1,125 sq ft"
32.25689,-110.79429,Coronado Villas Apartments,"9225 E Tanque Verde Dr, Tucson, AZ 85749",Indian Hill,"Enjoy living at Coronado Villas Apartment Homes where friendliness and professionalism are only part of the charm! Relax and unwind in three refreshing resort style pools or spas, re-energize in your fully equipped fitness center. Invite family and friends for a BBQ or picnic. Your new home is the perfect place for sharing new experiences.","Vaulted Ceiling In Select Locations,White Appliances,Black Appliances,Disability Unit,Renovated,Smoke Free Community,Breathtaking Mountain Views,Enhanced Unit,Military Discount","$1,295 - $1,795",1 - 3 bd,1 - 2 ba,"910 - 1,162 sq ft"
32.18992,-111.00093,San Mateo,"2800 S Mission Rd, Tucson, AZ 85713",Tucson,"Apartment Homes in Tucson, AZ Enjoy the neighborhood atmosphere in our gated community of San Mateo Apartments located in Southwest Tucson, Arizona. We have six different floor plans to choose from (including 3 bedroom apartments), immaculate grounds, lush landscaping, and spectacular mountain views! There's something for everyone here. You can start your day off with a quick swim in our refreshing pool or a work out in the fitness center. You can wrap up a couple of work items at our business center and then grab a snack at one of our convenient vending machines. Everyone will love playing on the playground, and you can have your friends join you for a game of soccer. Our residents love their extra outside storage, spacious closets, and gourmet kitchens. While San Mateo Apartment Homes offers convenient access to services, recreation, transportation, and employment, our community also provides a landscaped refuge from much of the hustle and bustle of city life. You can enjoy the grounds, the facilities, the activities, and the peace and quiet of your new home. Our friendly and professional team does everything it can to make our residents feel at home!","Courtesy Patrol,Central Air Conditioning,Easy, Secure Online Rent Payment,Off-Street Parking,Ample Storage Space,Ceiling Fans,Private Balcony / Patio*,BBQ and Picnic Area,Cable Ready Homes,Community Green Spaces,Efficient Kitchen Appliances,Plush Carpeting,Window Coverings,Monthly Resident Events,Non-Smoking Community,Spanish Speaking Staff - Se Habla Español,Walk-In Closets","$709 - $1,897",Studio - 3 bd,1 - 2 ba,390 - 937 sq ft
32.38024,-111.06592,Equestrian,"4701 W Linda Vista Blvd, Tucson, AZ 85742",Casas Adobes,"Luxury Apartment Homes in Tucson, AZ Surrounded by beautiful landscaping, experience apartment living at its best in northwest Tucson at Equestrian Luxury Apartment Homes. Located in Pima County, Equestrian’s ideal location places you minutes from shopping, movie theaters, fine dining, medical facilities, as well as being conveniently close to major freeways. Our spacious one, two and three-bedroom floor plans offer our residents many generous amenities that keep you comfortable and feeling right at home. Relax by our refreshing swimming pool or workout in our state-of-the-art fitness center. We are also a pet-friendly community, so bring the entire family! Don’t forget to visit our photo gallery and view all our luxury amenities. We are positive that you'll see why Equestrian Luxury Apartment Homes is the perfect place to call home!","Breakfast Bar,Bridge Credit Plus,9 Ft Ceilings,Enjoy your new pool!,In-Unit Washer/Dryer,Mountain Views,Refrigerator With Ice Makers,24Hr Fitness Center,Microwave,Minutes from Freeway!,Mirrored Closet Doors,Under Counter Multi-Color Lighting,Cable Ready,Ceiling Fans,Charcoal BBQ Grills,Dual-Pane Windows,Extra Storage,Sheet Plank Flooring,Updater,Monthly Themed Child Activities,Reserve Yours Today!,Resident Activities,Vaulted Ceilings,Air Conditioning,Bathroom Vanity,Beautiful Grill Area next to pool,Dishwasher,Electric Oven & Stove,Gas BBQ Grills,Monthly Resident Events,Non-Smoking Community,Ready for immediate Move In!,Spacious Closet,Beautiful Landscaping,Covered Parking,Granite Countertops,Private Balconies/Patios,Two-Tone Paint,Book of the Month Club,Carpeted Floors,Dog Park,Friendly, Helpful Staff,Garbage Disposal,Pantry,Spectacular Views Available,Super Summer Savings,Vertical Blinds","$1,327 - $2,899",1 - 3 bd,1 - 2 ba,"651 - 1,084 sq ft"
